,hier,GMM,GMMCapitals,GMMBridges
52699,3,3,3,3
5315,26,26,26,26
41319,5,5,5,5
68320,24,24,24,24
25320,1,1,1,1
47318,10,10,10,10
50318,8,8,8,8
73319,28,28,28,28
68322,24,24,24,24
19318,14,14,14,14
70265,26,26,26,26
25324,28,28,28,28
15322,19,19,19,19
25328,16,16,16,16
25335,8,8,8,8
66318,1,1,1,1
5310,15,15,15,15
54344,25,25,25,25
13300,10,10,10,10
68344,4,4,4,4
85125,12,12,12,12
44378,30,30,30,30
5347,15,15,15,15
73347,16,16,16,16
41349,5,5,5,5
73349,1,1,1,1
73001,11,11,11,11
73352,28,28,28,28
19355,22,22,22,22
94001,20,20,20,20
52356,27,27,27,27
27361,31,31,31,31
5361,15,15,15,15
19364,22,22,22,22
76364,22,22,22,22
5364,1,1,1,1
25368,16,16,16,16
27372,6,6,6,6
68377,1,1,1,1
66383,11,11,11,11
52378,27,27,27,27
17380,1,1,1,1
54385,25,25,25,25
5380,15,15,15,15
20383,10,10,10,10
20400,30,30,30,30
44420,30,30,30,30
52385,27,27,27,27
50350,8,8,8,8
25386,16,16,16,16
18410,21,21,21,21
68397,24,24,24,24
20621,30,30,30,30
41396,22,22,22,22
54398,10,10,10,10
99524,23,23,23,23
19392,27,27,27,27
63401,11,11,11,11
52390,14,14,14,14
52399,27,27,27,27
19397,27,27,27,27
25402,16,16,16,16
17867,11,11,11,11
66400,11,11,11,11
15377,12,12,12,12
68385,24,24,24,24
68406,4,4,4,4
52405,27,27,27,27
50400,8,8,8,8
91001,13,13,13,13
52411,27,27,27,27
27413,31,31,31,31
23417,18,18,18,18
23419,6,6,6,6
70418,18,18,18,18
54405,25,25,25,25
68418,4,4,4,4
54418,25,25,25,25
8421,9,9,9,9
73408,16,16,16,16
73411,16,16,16,16
19418,27,27,27,27
5425,29,29,29,29
13430,10,10,10,10
52427,14,14,14,14
13433,9,9,9,9
44430,30,30,30,30
70429,26,26,26,26
8433,9,9,9,9
8436,9,9,9,9
44560,30,30,30,30
20443,30,30,30,30
17001,1,1,1,1
17433,1,1,1,1
85139,23,23,23,23
50325,17,17,17,17
13440,10,10,10,10
15442,1,1,1,1
73443,1,1,1,1
17444,1,1,1,1
17446,1,1,1,1
13442,9,9,9,9
68444,4,4,4,4
5001,15,15,15,15
25438,19,19,19,19
27450,31,31,31,31
73449,28,28,28,28
19450,27,27,27,27
50330,8,8,8,8
18460,21,21,21,21
95200,17,17,17,17
19455,22,22,22,22
66456,1,1,1,1
97001,7,7,7,7
86001,5,5,5,5
23464,18,18,18,18
13468,10,10,10,10
5467,15,15,15,15
13458,26,26,26,26
23466,26,26,26,26
63470,11,11,11,11
23001,18,18,18,18
85162,19,19,19,19
13473,10,10,10,10
19473,22,22,22,22
70473,18,18,18,18
52473,14,14,14,14
23500,6,6,6,6
5475,6,6,6,6
5480,6,6,6,6
15480,1,1,1,1
5483,1,1,1,1
73483,28,28,28,28
5495,26,26,26,26
5490,6,6,6,6
17486,1,1,1,1
41001,5,5,5,5
25488,28,28,28,28
17495,1,1,1,1
13490,10,10,10,10
27491,31,31,31,31
47460,2,2,2,2
85225,12,12,12,12
27495,6,6,6,6
76497,11,11,11,11
54498,10,10,10,10
68500,24,24,24,24
52490,27,27,27,27
68502,4,4,4,4
41503,5,5,5,5
86320,3,3,3,3
85230,23,23,23,23
73504,11,11,11,11
15507,1,1,1,1
70508,18,18,18,18
20517,10,10,10,10
25518,1,1,1,1
15518,12,12,12,12
41524,5,5,5,5
17524,1,1,1,1
